wavelength,x_bar
539,0.367715
540,0.384186
541,0.400531
542,0.416667
543,0.432542
544,0.448106
545,0.463311
546,0.478144
547,0.492748
548,0.507332
549,0.522131
550,0.537417
551,0.553422
552,0.570124
553,0.587409
554,0.605127
555,0.623089
556,0.6411
557,0.659066
558,0.676944
559,0.694714
560,0.712385
561,0.729998
562,0.747648
563,0.765425
564,0.783401
565,0.801628
566,0.820104
567,0.838684
568,0.857194
569,0.875465
570,0.893341
571,0.910677
572,0.927355
573,0.94325
574,0.958224
575,0.97213
576,0.984924
577,0.997007
578,1.00891
579,1.02116
580,1.03433
581,1.04875
582,1.06394
583,1.07917
584,1.09372
585,1.10689
586,1.11811
587,1.12749
588,1.13532
589,1.14184
590,1.1473
591,1.1519
592,1.15558
593,1.15828
594,1.15993
595,1.16048
596,1.15989
597,1.15826
598,1.15569
599,1.15229
600,1.14816
601,1.14335
602,1.13769
603,1.13099
604,1.1231
605,1.11385
606,1.10315
607,1.09112
608,1.0779
609,1.06364
610,1.04848
611,1.03255
612,1.01587
613,0.998486
614,0.980423
615,0.961711
616,0.942412
617,0.922705
618,0.90278
619,0.882812
620,0.862958
621,0.843273
622,0.823474
623,0.803234
624,0.782272
625,0.76035
626,0.737374
627,0.713647
628,0.689534
629,0.665357
630,0.641398
631,0.617872
632,0.594848
633,0.57236
634,0.550435
635,0.529098
636,0.508373
637,0.488301
638,0.468917
639,0.450249
640,0.432313
641,0.415079
642,0.398366
643,0.381985
644,0.365782
645,0.349636
646,0.333494
647,0.317478
648,0.30173
649,0.286368
650,0.27149
651,0.257163
652,0.24341
653,0.230239
654,0.217653
655,0.205651
656,0.194225
657,0.183353
658,0.17301
659,0.163172
660,0.153816
661,0.144923
662,0.136473
663,0.128448
664,0.120832
665,0.113607
666,0.106758
667,0.100268
668,0.0941239
669,0.0883093
670,0.0828101
671,0.0776121
672,0.0727006
673,0.0680617
674,0.0636818
675,0.0595481
676,0.0556492
677,0.0519754
678,0.0485179
679,0.0452674
680,0.0422147
681,0.0393495
682,0.0366573
683,0.0341241
684,0.0317377
685,0.0294875
686,0.0273672
687,0.0253811
688,0.0235336
689,0.0218256
690,0.0202559
691,0.0188189
692,0.0174993
693,0.0162817
694,0.015153
695,0.0141023
696,0.0131211
697,0.0122051
698,0.0113511
699,0.0105559
700,0.00981623
701,0.00912852
702,0.00848812
703,0.00789059
704,0.00733206
705,0.00680915
706,0.0063192
707,0.00586104
708,0.00543362
709,0.0050358
710,0.0046663
711,0.00432375
712,0.00400671
713,0.00371371
714,0.00344329
715,0.00319404
716,0.00296442
717,0.00275249
718,0.00255641
719,0.00237456
720,0.00220557
721,0.00204829
722,0.00190211
723,0.00176648
724,0.00164086
725,0.00152467
726,0.00141732
727,0.00131803
728,0.00122606
729,0.00114074
730,0.00106149
731,0.000987795
732,0.000919185
733,0.000855257
734,0.000795643
735,0.000740012
736,0.000688098
737,0.000639786
738,0.000594973
739,0.000553529
740,0.000515311
741,0.000480123
742,0.000447625
743,0.000417485
744,0.000389422
745,0.000363197
746,0.000338628
747,0.000315645
748,0.000294197
749,0.000274223
750,0.000255662
751,0.000238439
752,0.000222452
753,0.000207604
754,0.000193802
755,0.000180965
756,0.000169017
757,0.000157884
758,0.000147499
759,0.000137803
760,0.000128739
761,0.000120264
762,0.00011235
763,0.000104973
764,9.8106e-05
765,9.17248e-05
766,8.57986e-05
767,8.02817e-05
768,7.51301e-05
769,7.03057e-05
770,6.57753e-05
771,6.15151e-05
772,5.75203e-05
773,5.37881e-05
774,5.03135e-05
775,4.70892e-05
776,4.41032e-05
777,4.13315e-05
778,3.87499e-05
779,3.63376e-05
780,3.40765e-05
781,3.19524e-05
782,2.99581e-05
783,2.80878e-05
784,2.63358e-05
785,2.46963e-05
786,2.31631e-05
787,2.17286e-05
788,2.03852e-05
789,1.91263e-05
790,1.79455e-05
791,1.68378e-05
792,1.57991e-05
793,1.4826e-05
794,1.39153e-05
795,1.30634e-05
796,1.22672e-05
797,1.15228e-05
798,1.08266e-05
799,1.01754e-05
800,9.56599e-06
801,8.99541e-06
802,8.46025e-06
803,7.95738e-06
804,7.484e-06
805,7.03762e-06
806,6.61631e-06
807,6.21926e-06
808,5.84584e-06
809,5.49531e-06
810,5.16685e-06
811,4.85951e-06
812,4.57197e-06
813,4.30292e-06
814,4.05112e-06
815,3.81543e-06
816,3.59472e-06
817,3.38774e-06
818,3.1933e-06
819,3.01036e-06
820,2.83798e-06
821,2.67536e-06
822,2.52202e-06
823,2.37751e-06
824,2.24142e-06
825,2.11332e-06
826,1.99283e-06
827,1.87954e-06
828,1.77308e-06
829,1.67309e-06
830,1.5792e-06
