wavelength,x_bar
390,0.00295242
391,0.00357728
392,0.00433215
393,0.00524161
394,0.0063339
395,0.00764114
396,0.0091994
397,0.0110487
398,0.0132326
399,0.0157979
400,0.0187934
401,0.0222695
402,0.0262798
403,0.0308786
404,0.0361189
405,0.0420499
406,0.0487126
407,0.0561287
408,0.0642987
409,0.0731982
410,0.0827733
411,0.0929533
412,0.103714
413,0.115052
414,0.126977
415,0.139513
416,0.152666
417,0.166305
418,0.18022
419,0.194145
420,0.207765
421,0.220791
422,0.233235
423,0.245246
424,0.25704
425,0.268899
426,0.281068
427,0.293397
428,0.305593
429,0.317317
430,0.32818
431,0.337868
432,0.34651
433,0.354395
434,0.361866
435,0.369308
436,0.377011
437,0.384685
438,0.391859
439,0.398019
440,0.402619
441,0.405264
442,0.406248
443,0.406066
444,0.405228
445,0.404253
446,0.403481
447,0.402536
448,0.400867
449,0.397933
450,0.393214
451,0.386411
452,0.377951
453,0.368418
454,0.358347
455,0.348221
456,0.338383
457,0.328831
458,0.319498
459,0.310335
460,0.301311
461,0.292375
462,0.283327
463,0.273946
464,0.264035
465,0.253422
466,0.242014
467,0.229935
468,0.217362
469,0.204467
470,0.191418
471,0.178367
472,0.165441
473,0.152739
474,0.140344
475,0.128317
476,0.116712
477,0.105612
478,0.0950857
479,0.0851821
480,0.0759312
481,0.0673316
482,0.0593202
483,0.0518411
484,0.0448612
485,0.0383677
486,0.032373
487,0.026921
488,0.0220407
489,0.0177395
490,0.0140074
491,0.0108229
492,0.008169
493,0.00604462
494,0.00446264
495,0.00344681
496,0.00300951
497,0.00309074
498,0.00361122
499,0.00449144
500,0.00565207
501,0.00703532
502,0.00866963
503,0.0106075
504,0.0129047
505,0.0156196
506,0.0188164
507,0.0225692
508,0.0269446
509,0.0319991
510,0.0377818
511,0.0443064
512,0.0514652
513,0.0591222
514,0.0671422
515,0.0753894
516,0.083767
517,0.0923358
518,0.101194
519,0.110436
520,0.120151
521,0.130396
522,0.141131
523,0.152294
524,0.163829
525,0.175683
526,0.187811
527,0.200162
528,0.212682
529,0.22532
530,0.238025
531,0.250779
532,0.263678
533,0.276861
534,0.290479
535,0.304699
536,0.319648
537,0.335245
538,0.351329
