wavelength,y_bar
390,0.000407678
391,0.000497777
392,0.000606475
393,0.000737004
394,0.000892939
395,0.00107817
396,0.00129682
397,0.00155316
398,0.00185146
399,0.00219579
400,0.00258977
401,0.0030368
402,0.00354193
403,0.00411142
404,0.00475262
405,0.00547421
406,0.00628503
407,0.00718807
408,0.00818179
409,0.00926042
410,0.010413
411,0.0116264
412,0.0128988
413,0.0142344
414,0.0156408
415,0.0171297
416,0.0187127
417,0.0203839
418,0.0221293
419,0.0239298
420,0.0257613
421,0.0276016
422,0.0294551
423,0.0313388
424,0.0332757
425,0.0352955
426,0.0374271
427,0.0396714
428,0.04202
429,0.0444617
430,0.0469823
431,0.0495674
432,0.0522122
433,0.0549139
434,0.0576692
435,0.0604743
436,0.0633219
437,0.0661927
438,0.0690618
439,0.0719019
440,0.0746829
441,0.0773845
442,0.080036
443,0.0826852
444,0.0853875
445,0.0882054
446,0.0911892
447,0.0943104
448,0.0975135
449,0.100735
450,0.103903
451,0.106964
452,0.109968
453,0.112999
454,0.116154
455,0.119539
456,0.12325
457,0.127305
458,0.131696
459,0.136418
460,0.141459
461,0.1468
462,0.1524
463,0.158202
464,0.16414
465,0.170137
466,0.176123
467,0.18209
468,0.188046
469,0.194006
470,0.199986
471,0.206005
472,0.212098
473,0.218304
474,0.224669
475,0.231243
476,0.238074
477,0.24518
478,0.252568
479,0.260248
480,0.268227
481,0.276501
482,0.285003
483,0.293648
484,0.302332
485,0.310944
486,0.31941
487,0.327868
488,0.336526
489,0.345618
490,0.355402
491,0.366089
492,0.377586
493,0.389696
494,0.402195
495,0.414823
496,0.427354
497,0.439821
498,0.452336
499,0.46503
500,0.478048
501,0.491517
502,0.505422
503,0.519706
504,0.534301
505,0.549134
506,0.56413
507,0.579242
508,0.594426
509,0.609639
510,0.62483
511,0.639966
512,0.655094
513,0.67029
514,0.685638
515,0.701229
516,0.71711
517,0.733092
518,0.748904
519,0.764253
520,0.77882
521,0.792341
522,0.804851
523,0.816475
524,0.827352
525,0.837636
526,0.847465
527,0.856887
528,0.865924
529,0.874604
530,0.882955
531,0.891027
532,0.898949
533,0.906875
534,0.914965
535,0.923386
536,0.932233
537,0.941286
538,0.950238
539,0.958765
540,0.966533
541,0.97325
542,0.978842
543,0.983287
544,0.986572
545,0.988689
546,0.989706
547,0.989985
548,0.989962
549,0.990073
550,0.99075
551,0.992283
552,0.994384
553,0.996622
554,0.998565
555,0.999777
556,0.999944
557,0.99922
558,0.997879
559,0.996193
560,0.99443
561,0.992783
562,0.991158
563,0.989392
564,0.987329
565,0.984813
566,0.981725
567,0.978071
568,0.973886
569,0.969203
570,0.964055
571,0.958441
572,0.952238
573,0.945297
574,0.937477
575,0.92865
576,0.918795
577,0.908301
578,0.897635
579,0.88724
580,0.877536
581,0.868792
582,0.860747
583,0.853023
584,0.845253
585,0.837084
586,0.828241
587,0.818732
588,0.808635
589,0.79803
590,0.786995
591,0.775604
592,0.7639
593,0.751916
594,0.739683
595,0.727231
596,0.714588
597,0.701793
598,0.688887
599,0.67591
600,0.662903
601,0.649891
602,0.636841
603,0.623709
604,0.610454
605,0.597037
606,0.583439
607,0.569704
608,0.555889
609,0.542048
610,0.52823
611,0.514475
612,0.500788
613,0.487169
614,0.473616
615,0.460131
616,0.446726
617,0.433459
618,0.420392
619,0.407581
620,0.395076
621,0.382889
622,0.370919
623,0.359045
624,0.347162
625,0.335179
626,0.323056
627,0.310886
628,0.298784
629,0.286853
630,0.275181
631,0.263834
632,0.252833
633,0.242183
634,0.23189
635,0.221956
636,0.212383
637,0.20317
638,0.194318
639,0.185825
640,0.177688
641,0.169893
642,0.162382
643,0.155099
644,0.147992
645,0.14102
646,0.134161
647,0.12744
648,0.120889
649,0.114534
650,0.1084
651,0.102501
652,0.0968459
653,0.0914394
654,0.0862832
655,0.0813769
656,0.0767171
657,0.072294
658,0.068097
659,0.0641155
660,0.0603398
661,0.0567605
662,0.0533699
663,0.0501603
664,0.0471241
665,0.0442538
666,0.041542
667,0.0389804
668,0.0365609
669,0.034276
670,0.0321185
671,0.0300819
672,0.02816
673,0.026347
674,0.0246373
675,0.0230257
676,0.0215074
677,0.0200784
678,0.0187347
679,0.0174727
680,0.0162884
681,0.0151777
682,0.0141347
683,0.0131541
684,0.0122309
685,0.0113611
686,0.0105419
687,0.00977505
688,0.00906196
689,0.00840296
690,0.00779746
691,0.00724323
692,0.00673438
693,0.006265
694,0.00583008
695,0.00542539
696,0.00504763
697,0.00469514
698,0.00436659
699,0.00406068
700,0.00377614
701,0.00351158
702,0.00326521
703,0.00303534
704,0.0028205
705,0.00261937
706,0.00243096
707,0.0022548
708,0.00209049
709,0.00193759
710,0.0017956
711,0.00166399
712,0.0015422
713,0.00142964
714,0.00132575
715,0.00122998
716,0.00114173
717,0.00106027
718,0.000984885
719,0.00091497
720,0.00084999
721,0.000789516
722,0.000733304
723,0.000681146
724,0.000632829
725,0.000588138
726,0.000546839
727,0.000508635
728,0.00047324
729,0.000440402
730,0.000409893
731,0.000381514
732,0.00035509
733,0.000330467
734,0.000307503
735,0.000286072
736,0.000266072
737,0.000247459
738,0.000230192
739,0.000214222
740,0.000199495
741,0.000185934
742,0.000173407
743,0.000161787
744,0.000150964
745,0.000140847
746,0.000131364
747,0.000122491
748,0.000114206
749,0.000106489
750,9.93144e-05
751,9.26551e-05
752,8.64722e-05
753,8.07278e-05
754,7.53872e-05
755,7.04188e-05
756,6.57934e-05
757,6.14825e-05
758,5.74601e-05
759,5.37027e-05
760,5.01893e-05
761,4.69024e-05
762,4.38317e-05
763,4.09678e-05
764,3.83012e-05
765,3.58222e-05
766,3.3519e-05
767,3.13742e-05
768,2.93707e-05
769,2.74938e-05
770,2.57308e-05
771,2.40725e-05
772,2.2517e-05
773,2.10635e-05
774,1.97099e-05
775,1.84535e-05
776,1.72898e-05
777,1.62093e-05
778,1.52026e-05
779,1.42617e-05
780,1.33795e-05
781,1.25504e-05
782,1.17717e-05
783,1.10412e-05
784,1.03566e-05
785,9.7158e-06
786,9.11632e-06
787,8.5552e-06
788,8.02956e-06
789,7.53677e-06
790,7.07442e-06
791,6.64046e-06
792,6.23344e-06
793,5.85204e-06
794,5.49496e-06
795,5.16095e-06
796,4.84869e-06
797,4.55671e-06
798,4.28358e-06
799,4.02799e-06
800,3.78873e-06
801,3.5646e-06
802,3.35428e-06
803,3.15656e-06
804,2.97033e-06
805,2.79462e-06
806,2.6287e-06
