wavelength,z_bar
390,0.0131875
391,0.0159788
392,0.0193576
393,0.0234376
394,0.0283502
395,0.0342459
396,0.0412947
397,0.0496864
398,0.0596296
399,0.0713493
400,0.0850825
401,0.101075
402,0.119584
403,0.140865
404,0.165164
405,0.192707
406,0.223678
407,0.258211
408,0.296363
409,0.338102
410,0.383282
411,0.431688
412,0.483244
413,0.537934
414,0.595774
415,0.656819
416,0.721046
417,0.787864
418,0.856339
419,0.925302
420,0.993344
421,1.05918
422,1.12283
423,1.18495
424,1.24648
425,1.30867
426,1.37263
427,1.43766
428,1.50245
429,1.56546
430,1.62494
431,1.67949
432,1.72967
433,1.77676
434,1.82223
435,1.86775
436,1.9145
437,1.96106
438,2.00514
439,2.0443
440,2.07595
441,2.09823
442,2.11259
443,2.12143
444,2.12724
445,2.13257
446,2.13909
447,2.14482
448,2.14683
449,2.14225
450,2.12826
451,2.10321
452,2.06939
453,2.03003
454,1.98818
455,1.94665
456,1.90752
457,1.87069
458,1.83558
459,1.80166
460,1.76844
461,1.73534
462,1.70125
463,1.66505
464,1.62571
465,1.58234
466,1.53444
467,1.48254
468,1.42744
469,1.36988
470,1.31058
471,1.25023
472,1.18951
473,1.12905
474,1.06938
475,1.01095
476,0.954181
477,0.899525
478,0.847372
479,0.798009
480,0.751639
481,0.708264
482,0.667387
483,0.62848
484,0.591117
485,0.554962
486,0.519884
487,0.486277
488,0.45455
489,0.424996
490,0.397811
491,0.373022
492,0.350262
493,0.329141
494,0.309336
495,0.290582
496,0.272677
497,0.255514
498,0.239019
499,0.223133
500,0.207816
501,0.193041
502,0.178809
503,0.165129
504,0.15201
505,0.139464
506,0.127535
507,0.116377
508,0.106116
509,0.0968227
510,0.0885239
511,0.0811826
512,0.0746313
513,0.0687064
514,0.0632783
515,0.0582448
516,0.0535381
517,0.0491486
518,0.0450751
519,0.0413117
520,0.0378492
521,0.0346723
522,0.0317547
523,0.0290703
524,0.0265965
525,0.0243137
526,0.0222068
527,0.0202685
528,0.0184925
529,0.0168708
530,0.0153951
531,0.0140545
532,0.0128335
533,0.0117175
534,0.0106941
535,0.009753
536,0.0088861
537,0.00808932
538,0.00735913
539,0.00669174
540,0.00608322
541,0.00552942
542,0.0050255
543,0.00456688
544,0.00414941
545,0.00376934
546,0.0034233
547,0.00310831
548,0.00282165
549,0.00256083
550,0.00232358
551,0.00210785
552,0.00191187
553,0.00173401
554,0.00157274
555,0.00142663
556,0.00129432
557,0.00117447
558,0.00106584
559,0.000967322
560,0.000877926
561,0.000796785
562,0.00072315
563,0.00065635
564,0.000595768
565,0.000540839
566,0.000491044
567,0.000445905
568,0.000404983
569,0.000367882
570,0.000334243
571,0.000303741
572,0.000276081
573,0.000250997
574,0.000228247
575,0.000207613
576,0.000188895
577,0.000171913
578,0.000156503
579,0.000142518
580,0.000129823
581,0.000118297
582,0.000107831
583,9.83246e-05
584,8.96879e-05
585,8.18395e-05
586,7.47058e-05
587,6.82199e-05
588,6.23213e-05
589,5.69553e-05
590,5.20725e-05
591,4.76278e-05
592,4.35808e-05
593,3.98947e-05
594,3.65361e-05
595,3.3475e-05
596,3.0684e-05
597,2.81384e-05
598,2.58157e-05
599,2.36957e-05
600,2.176e-05
601,1.99918e-05
602,1.8376e-05
603,1.6899e-05
604,1.55482e-05
605,1.43123e-05
606,1.31812e-05
607,1.21455e-05
608,1.11967e-05
609,1.03273e-05
610,9.53013e-06
611,8.79898e-06
612,8.12806e-06
613,7.51216e-06
614,6.94651e-06
615,6.42678e-06
616,3.04402e-22
617,1.15805e-22
618,1.15805e-23
619,-3.72231e-24
620,-1.55096e-24
621,2.84343e-25
622,-1.29247e-26
623,-1.61559e-27
624,-8.07794e-27
625,0
626,3.28166e-28
627,1.4515e-28
628,-2.99767e-29
629,-1.26218e-29
630,1.77494e-30
631,9.36772e-31
632,2.46519e-32
633,6.16298e-33
634,1.54074e-33
635,7.31853e-33
636,1.34815e-33
637,2.76852e-34
638,-1.80556e-35
639,-1.50463e-36
640,-7.52316e-37
641,8.46356e-37
642,4.70198e-37
643,-3.52648e-38
644,4.4081e-39
645,8.44887e-39
646,-8.26519e-40
647,-2.29589e-41
648,-2.86986e-41
649,5.73972e-42
650,4.30479e-42
651,-2.51113e-42
652,-8.07148e-43
653,-2.24208e-44
654,-1.96182e-44
655,9.80909e-45
656,1.05097e-45
657,1.05097e-45
658,-4.37906e-47
659,-1.64215e-47
660,-8.21073e-48
661,-2.05268e-48
662,-3.16455e-48
663,4.27642e-50
664,0
665,1.60366e-50
666,2.67276e-51
667,3.34096e-52
668,-1.67048e-52
669,-1.04405e-53
670,-1.82709e-53
671,4.56771e-54
672,-1.30506e-54
673,-4.07832e-55
674,3.36461e-55
675,-7.64684e-57
676,-8.28408e-57
677,-1.59309e-58
678,8.76201e-58
679,3.78359e-58
680,0
681,-7.46762e-60
682,-3.11151e-61
683,1.55575e-60
684,-9.72346e-62
685,1.06958e-61
686,-3.76784e-62
687,2.43087e-63
688,-7.59645e-64
689,7.59645e-65
690,3.79823e-65
691,-3.08606e-65
692,0
693,4.45105e-67
694,-1.11276e-67
695,-1.57641e-67
696,-4.17286e-68
697,-5.79563e-70
698,2.46314e-69
699,0
700,-1.08668e-70
701,4.98062e-71
702,-9.05568e-72
703,1.69794e-72
704,6.36727e-73
705,-1.23808e-73
706,-4.86389e-74
707,1.5476e-74
708,-1.9345e-75
709,0
710,-1.72723e-76
711,8.63617e-77
712,0
713,-2.15904e-78
714,-1.3494e-78
715,-6.07231e-79
716,-7.59038e-80
717,2.95182e-80
718,-1.00151e-80
719,0
720,3.29444e-82
721,-6.58887e-83
722,-2.88263e-83
723,4.11805e-84
724,-2.83116e-84
725,-6.43445e-86
726,3.21722e-86
727,6.43445e-86
728,-1.91023e-86
729,-6.03229e-87
730,-1.25673e-88
731,2.51346e-88
732,4.71273e-89
733,2.16e-89
734,-2.94546e-90
735,-1.22727e-90
736,1.84091e-91
737,9.9716e-92
738,-1.91761e-93
739,2.87642e-93
740,-4.55433e-93
741,-2.99627e-94
742,5.99255e-95
743,-7.49068e-96
744,0
745,-1.17042e-96
746,8.19293e-97
747,2.04823e-97
748,-1.09727e-98
749,-1.28015e-98
750,-3.20036e-99
751,8.00091e-100
752,-1.14299e-100
753,-5.00057e-101
754,-4.10761e-101
755,0
756,-3.3486e-103
757,-5.30194e-103
758,-5.58099e-104
759,1.39525e-104
760,6.10421e-105
761,2.8341e-105
762,5.99521e-106
763,-2.45258e-106
764,1.02191e-107
765,-6.81274e-108
766,-2.12898e-109
767,-2.12898e-109
768,-1.19755e-109
769,0
770,4.9898e-111
771,-2.91071e-111
772,0
773,-1.8192e-112
774,-1.10451e-112
775,-2.59885e-113
776,-4.06071e-114
777,5.07588e-115
778,1.01518e-115
779,2.53794e-116
780,3.17243e-117
781,-3.96553e-117
782,-4.75864e-117
783,2.97415e-118
784,4.46123e-118
785,9.91384e-119
786,-6.19615e-120
787,-5.42163e-120
788,0
789,-4.84074e-122
790,-4.84074e-122
791,-6.05092e-123
792,-8.6982e-123
793,-1.60728e-123
794,2.36364e-125
795,0
796,-3.54546e-125
797,-5.90911e-126
798,1.10796e-126
799,-1.38495e-127
800,-4.61649e-128
801,-6.34767e-128
802,-7.21326e-130
803,3.60663e-130
804,3.60663e-130
805,1.91602e-130
806,-1.97238e-131
807,-7.0442e-133
808,1.40884e-132
809,1.76105e-133
810,4.40263e-134
811,-1.65099e-134
812,5.50328e-135
813,5.15933e-135
814,-1.71978e-136
815,1.5048e-136
816,1.07486e-137
817,4.83687e-137
818,1.00768e-138
819,-1.51152e-138
820,-4.19867e-139
821,0
822,-5.24834e-141
823,5.24834e-141
824,2.78818e-141
825,9.43061e-142
826,1.02507e-142
827,-1.02507e-143
828,3.0752e-143
829,1.02507e-143
830,0
