wavelength,s_bar
390,0.00614265
391,0.0074428
392,0.00901661
393,0.010917
394,0.0132053
395,0.0159515
396,0.0192347
397,0.0231436
398,0.027775
399,0.0332339
400,0.0396308
401,0.0470801
402,0.0557012
403,0.0656137
404,0.0769323
405,0.0897612
406,0.104188
407,0.120273
408,0.138044
409,0.157485
410,0.17853
411,0.201077
412,0.225091
413,0.250566
414,0.277507
415,0.305941
416,0.335858
417,0.366981
418,0.398876
419,0.430998
420,0.462692
421,0.493357
422,0.523006
423,0.551939
424,0.580599
425,0.60957
426,0.639359
427,0.669651
428,0.699829
429,0.729177
430,0.756885
431,0.782292
432,0.805666
433,0.827599
434,0.84878
435,0.869984
436,0.891761
437,0.913444
438,0.933977
439,0.952218
440,0.96696
441,0.97734
442,0.984028
443,0.988144
444,0.990851
445,0.993336
446,0.996373
447,0.999038
448,0.999978
449,0.997844
450,0.991329
451,0.979657
452,0.963905
453,0.945573
454,0.926078
455,0.906735
456,0.888509
457,0.871353
458,0.854998
459,0.839198
460,0.823726
461,0.808307
462,0.792431
463,0.775569
464,0.757244
465,0.737043
466,0.71473
467,0.690558
468,0.66489
469,0.638078
470,0.610456
471,0.582346
472,0.554065
473,0.525903
474,0.498108
475,0.470894
476,0.44445
477,0.418992
478,0.394699
479,0.371707
480,0.350108
481,0.329904
482,0.310864
483,0.292741
484,0.275338
485,0.258497
486,0.242158
487,0.226504
488,0.211726
489,0.19796
490,0.185297
491,0.173751
492,0.163149
493,0.153311
494,0.144086
495,0.135351
496,0.127011
497,0.119017
498,0.111333
499,0.103934
500,0.096799
501,0.0899169
502,0.0832878
503,0.0769157
504,0.0708052
505,0.0649614
506,0.0594049
507,0.0542076
508,0.0494281
509,0.0450993
510,0.0412337
511,0.0378142
512,0.0347627
513,0.0320029
514,0.0294746
515,0.02713
516,0.0249376
517,0.0228931
518,0.0209956
519,0.0192427
520,0.0176298
521,0.0161501
522,0.0147911
523,0.0135407
524,0.0123884
525,0.0113252
526,0.0103437
527,0.00944092
528,0.00861365
529,0.00785831
530,0.00717089
531,0.00654648
532,0.00597777
533,0.00545794
534,0.00498125
535,0.00454287
536,0.00413908
537,0.00376794
538,0.00342783
539,0.00311696
540,0.00283352
541,0.00257556
542,0.00234084
543,0.00212722
544,0.00193276
545,0.00175573
546,0.00159455
547,0.00144783
548,0.0013143
549,0.00119281
550,0.0010823
551,0.000981819
552,0.000890533
553,0.000807687
554,0.000732568
555,0.000664512
556,0.000602887
557,0.000547062
558,0.000496461
559,0.000450571
560,0.000408931
561,0.000371136
562,0.000336838
563,0.000305723
564,0.000277504
565,0.000251918
566,0.000228725
567,0.000207699
568,0.000188638
569,0.000171357
570,0.000155688
571,0.00014148
572,0.000128596
573,0.000116912
574,0.000106316
575,9.67045e-05
576,8.79858e-05
577,8.00756e-05
578,7.28979e-05
579,6.63837e-05
580,6.04705e-05
581,5.5102e-05
582,5.02269e-05
583,4.57988e-05
584,4.17759e-05
585,3.81202e-05
586,3.47974e-05
587,3.17763e-05
588,2.90288e-05
589,2.65294e-05
590,2.42549e-05
591,2.21847e-05
592,2.02996e-05
593,1.85826e-05
594,1.70182e-05
595,1.55924e-05
596,1.42924e-05
597,1.31066e-05
598,1.20248e-05
599,1.10373e-05
600,1.01356e-05
601,9.31202e-06
602,8.55941e-06
603,7.87141e-06
604,7.24221e-06
605,6.66657e-06
606,6.1397e-06
607,5.65727e-06
608,5.21535e-06
609,4.81036e-06
610,4.43906e-06
611,4.0985e-06
612,3.78599e-06
613,3.49911e-06
614,3.23563e-06
615,2.99354e-06
616,2.64698e-23
617,3.80503e-23
618,4.1359e-25
619,2.06795e-25
620,5.16988e-26
621,2.58494e-26
622,1.9387e-26
623,0
624,-1.21169e-27
625,-4.03897e-28
626,0
627,9.46633e-30
628,-1.57772e-29
629,5.91646e-31
630,7.88861e-31
631,3.45127e-31
632,5.54668e-32
633,1.69482e-32
634,-4.23705e-33
635,1.44445e-33
636,3.85186e-34
637,1.14352e-34
638,-3.61112e-35
639,-3.76158e-36
640,1.88079e-36
641,7.99336e-37
642,2.35099e-38
643,-5.87747e-38
644,1.46937e-39
645,7.16317e-39
646,4.1326e-40
647,-2.29589e-41
648,0
649,8.60958e-42
650,3.58732e-43
651,-2.69049e-43
652,-3.36312e-43
653,-7.84727e-44
654,5.60519e-45
655,0
656,1.8392e-45
657,1.75162e-46
658,-9.3055e-47
659,2.73691e-47
660,0
661,-1.36846e-48
662,2.56585e-49
663,-7.48374e-50
664,2.13821e-50
665,-2.67276e-51
666,-5.01143e-52
667,-2.0881e-52
668,0
669,-1.30506e-53
670,2.61012e-54
671,-3.26265e-55
672,2.44699e-55
673,-6.11747e-56
674,3.56853e-56
675,-1.40192e-56
676,1.91171e-57
677,9.55855e-58
678,-4.58014e-58
679,-1.49352e-59
680,-2.48921e-59
681,-4.35611e-60
682,3.11151e-61
683,-1.94469e-61
684,2.91704e-62
685,-5.10482e-62
686,-1.51929e-62
687,-1.36736e-63
688,-1.13947e-64
689,2.08902e-64
690,-1.42434e-65
691,-2.49259e-65
692,1.48368e-66
693,-4.45105e-67
694,3.70921e-68
695,-2.31825e-68
696,-1.73869e-68
697,5.79563e-70
698,1.15913e-69
699,1.08668e-70
700,-3.62227e-71
701,2.26392e-72
702,3.96186e-72
703,4.24485e-73
704,-2.12242e-73
705,-1.14965e-73
706,2.87412e-74
707,8.84344e-75
708,-2.90175e-75
709,-1.03634e-76
710,-1.72723e-76
711,-4.31808e-77
712,2.15904e-78
713,1.07952e-78
714,1.21446e-78
715,1.68675e-79
716,-8.85545e-80
717,1.58133e-80
718,5.2711e-81
719,-4.61221e-82
720,-4.28277e-82
721,0
722,3.91214e-83
723,-1.02951e-84
724,-2.18771e-84
725,9.65167e-86
726,1.52818e-85
727,4.42368e-86
728,-1.00538e-87
729,-2.51346e-87
730,-4.39855e-88
731,2.67055e-88
732,3.92727e-90
733,0
734,9.81819e-91
735,2.45455e-91
736,3.06818e-92
737,1.15057e-92
738,5.75284e-93
739,2.87642e-93
740,1.19851e-94
741,4.19478e-94
742,-1.49814e-95
743,-9.36335e-96
744,-1.02997e-95
745,2.34084e-97
746,2.63344e-97
747,-1.31672e-97
748,0
749,1.82878e-99
750,6.85792e-100
751,1.54303e-99
752,-1.14299e-100
753,-7.14367e-101
754,-1.51803e-101
755,3.79508e-102
756,3.9067e-103
757,-8.37149e-104
758,-1.25572e-103
759,6.97624e-105
760,7.41226e-105
761,5.45019e-106
762,-5.99521e-106
763,-1.29442e-106
764,3.747e-107
765,8.09012e-108
766,-7.45143e-109
767,-5.32245e-109
768,-1.39714e-109
769,-3.65918e-110
770,8.31633e-112
771,1.66327e-111
772,-4.67793e-112
773,0
774,7.79656e-113
775,1.62428e-113
776,-3.24857e-114
777,-1.97959e-114
778,-1.14207e-115
779,1.11035e-115
780,1.11035e-116
781,4.36209e-117
782,-2.08191e-117
783,-4.46123e-118
784,-3.71769e-119
785,-1.54904e-119
786,3.09807e-120
787,1.9363e-121
788,-1.69426e-121
789,0
790,-6.05092e-123
791,-7.56366e-124
792,1.51273e-123
793,2.36364e-124
794,1.06364e-124
795,2.06819e-125
796,-2.95455e-126
797,-2.58523e-126
798,9.23298e-128
799,2.53907e-127
800,4.61649e-128
801,-7.21326e-129
802,2.88531e-129
803,-3.60663e-130
804,-2.47956e-130
805,1.01437e-130
806,5.63536e-132
807,0
808,1.8491e-132
809,6.82407e-133
810,2.20131e-134
811,3.02681e-134
812,0
813,1.20384e-135
814,6.87911e-136
815,1.07486e-137
816,5.10559e-137
817,1.54511e-137
818,-3.35894e-139
819,2.5192e-139
820,-6.29801e-140
821,-5.77317e-140
822,-2.62417e-141
823,1.31209e-141
824,6.56043e-142
825,-1.43509e-142
826,-3.58773e-143
827,-2.05013e-143
828,1.5376e-143
829,-5.12533e-144
830,0
