wavelength,l_bar
390,0.000407619
391,0.000497068
392,0.000604713
393,0.00073364
394,0.000887247
395,0.00106921
396,0.0012834
397,0.00153382
398,0.00182443
399,0.00215896
400,0.00254073
401,0.00297282
402,0.00345993
403,0.00400793
404,0.0046237
405,0.00531546
406,0.00609138
407,0.00695291
408,0.00789634
409,0.008913
410,0.00998835
411,0.0111054
412,0.0122607
413,0.0134578
414,0.0147044
415,0.016013
416,0.0173958
417,0.0188452
418,0.020344
419,0.02187
420,0.0233957
421,0.0248961
422,0.0263761
423,0.0278541
424,0.0293551
425,0.0309104
426,0.0325498
427,0.0342714
428,0.036062
429,0.0379052
430,0.039781
431,0.0416705
432,0.0435728
433,0.0454932
434,0.0474385
435,0.0494172
436,0.0514343
437,0.0534735
438,0.0555102
439,0.0575166
440,0.0594619
441,0.061324
442,0.0631288
443,0.0649189
444,0.0667425
445,0.0686538
446,0.0706963
447,0.0728508
448,0.0750778
449,0.0773325
450,0.0795647
451,0.0817368
452,0.0838826
453,0.0860598
454,0.0883322
455,0.0907704
456,0.0934397
457,0.0963577
458,0.0995304
459,0.102964
460,0.106663
461,0.110629
462,0.114828
463,0.119217
464,0.12374
465,0.128336
466,0.132947
467,0.13757
468,0.142218
469,0.146905
470,0.151651
471,0.156475
472,0.161404
473,0.166464
474,0.17169
475,0.177116
476,0.182777
477,0.188685
478,0.194845
479,0.201261
480,0.20794
481,0.214875
482,0.222022
483,0.229316
484,0.236684
485,0.244046
486,0.251347
487,0.258695
488,0.266252
489,0.274202
490,0.282752
491,0.292071
492,0.302094
493,0.312673
494,0.323637
495,0.334786
496,0.345943
497,0.357126
498,0.368416
499,0.379907
500,0.391705
501,0.403905
502,0.4165
503,0.429453
504,0.44272
505,0.456252
506,0.469997
507,0.483926
508,0.498012
509,0.512227
510,0.526538
511,0.540923
512,0.555406
513,0.570025
514,0.584828
515,0.599867
516,0.615162
517,0.630569
518,0.645883
519,0.66088
520,0.675313
521,0.688975
522,0.701886
523,0.71414
524,0.725841
525,0.737108
526,0.748046
527,0.758684
528,0.769032
529,0.779099
530,0.7889
531,0.798472
532,0.807945
533,0.817478
534,0.827239
535,0.837403
536,0.848078
537,0.859064
538,0.870068
539,0.880779
540,0.890871
541,0.900057
542,0.908253
543,0.915433
544,0.921575
545,0.92666
546,0.930744
547,0.93416
548,0.937318
549,0.940634
550,0.944527
551,0.949291
552,0.95468
553,0.960309
554,0.965785
555,0.970703
556,0.974756
557,0.978055
558,0.980819
559,0.983271
560,0.985636
561,0.988085
562,0.99056
563,0.992945
564,0.995124
565,0.996979
566,0.998411
567,0.999391
568,0.999912
569,0.999965
570,0.999543
571,0.998615
572,0.997051
573,0.994701
574,0.991416
575,0.987057
576,0.981599
577,0.975451
578,0.96912
579,0.963093
580,0.957841
581,0.953664
582,0.950236
583,0.947086
584,0.943752
585,0.939781
586,0.934826
587,0.928917
588,0.922177
589,0.914729
590,0.906693
591,0.89817
592,0.889188
593,0.879759
594,0.869894
595,0.859605
596,0.848912
597,0.837865
598,0.826522
599,0.81494
600,0.803173
601,0.791253
602,0.779118
603,0.766691
604,0.7539
605,0.74068
606,0.726995
607,0.712905
608,0.698491
609,0.683829
610,0.668991
611,0.654037
612,0.638979
613,0.623825
614,0.608579
615,0.593248
616,0.577857
617,0.562493
618,0.547248
619,0.532209
620,0.517449
621,0.502993
622,0.488692
623,0.474376
624,0.459896
625,0.445125
626,0.430007
627,0.414687
628,0.39934
629,0.384122
630,0.369168
631,0.35458
632,0.340389
633,0.326609
634,0.313249
635,0.300316
636,0.287817
637,0.275762
638,0.264158
639,0.253009
640,0.242316
641,0.232061
642,0.222158
643,0.212516
644,0.20306
645,0.19373
646,0.184495
647,0.175402
648,0.166509
649,0.157865
650,0.149509
651,0.14147
652,0.13376
653,0.126383
654,0.119343
655,0.112638
656,0.106264
657,0.100208
658,0.0944558
659,0.0889934
660,0.0838077
661,0.0788865
662,0.0742191
663,0.0697952
664,0.065605
665,0.0616384
666,0.0578857
667,0.0543366
668,0.0509811
669,0.0478096
670,0.0448132
671,0.0419831
672,0.0393111
673,0.0367892
674,0.0344098
675,0.032166
676,0.0300509
677,0.0280594
678,0.0261861
679,0.024426
680,0.0227738
681,0.0212238
682,0.0197679
683,0.0183986
684,0.0171092
685,0.0158939
686,0.0147492
687,0.0136773
688,0.0126804
689,0.011759
690,0.0109123
691,0.0101373
692,0.00942568
693,0.00876917
694,0.00816076
695,0.00759453
696,0.00706588
697,0.00657252
698,0.00611262
699,0.0056844
700,0.00528607
701,0.00491573
702,0.00457086
703,0.00424908
704,0.00394832
705,0.00366675
706,0.00340297
707,0.00315632
708,0.00292624
709,0.00271213
710,0.00251327
711,0.00232895
712,0.00215836
713,0.00200071
714,0.00185521
715,0.00172108
716,0.0015975
717,0.00148342
718,0.00137787
719,0.00127998
720,0.001189
721,0.00110433
722,0.00102563
723,0.000952602
724,0.000884959
725,0.000822396
726,0.000764585
727,0.00071111
728,0.00066157
729,0.000615612
730,0.000572917
731,0.000533206
732,0.000496234
733,0.000461782
734,0.000429654
735,0.00039967
736,0.00037169
737,0.00034565
738,0.000321494
739,0.000299155
740,0.000278553
741,0.000259583
742,0.000242061
743,0.000225809
744,0.000210674
745,0.000196528
746,0.000183271
747,0.000170868
748,0.00015929
749,0.000148506
750,0.000138482
751,0.000129179
752,0.000120542
753,0.000112519
754,0.000105061
755,9.81226e-05
756,9.16641e-05
757,8.56455e-05
758,8.00302e-05
759,7.47858e-05
760,6.98827e-05
761,6.52966e-05
762,6.10128e-05
763,5.70183e-05
764,5.32996e-05
765,4.9843e-05
766,4.66322e-05
767,4.36424e-05
768,4.08501e-05
769,3.82346e-05
770,3.57781e-05
771,3.34676e-05
772,3.13007e-05
773,2.92761e-05
774,2.73908e-05
775,2.56411e-05
776,2.40205e-05
777,2.2516e-05
778,2.11145e-05
779,1.98046e-05
780,1.85766e-05
781,1.74228e-05
782,1.63392e-05
783,1.53228e-05
784,1.43705e-05
785,1.34792e-05
786,1.26454e-05
787,1.18652e-05
788,1.11344e-05
789,1.04493e-05
790,9.80671e-06
791,9.20363e-06
792,8.63806e-06
793,8.10815e-06
794,7.61209e-06
795,7.14808e-06
796,6.71432e-06
797,6.30876e-06
798,5.92942e-06
799,5.5745e-06
800,5.24229e-06
801,4.93115e-06
802,4.63925e-06
803,4.36488e-06
804,4.10651e-06
805,3.8628e-06
806,3.6327e-06
807,3.41579e-06
808,3.21172e-06
809,3.0201e-06
810,2.84049e-06
811,2.67239e-06
812,2.51507e-06
813,2.36783e-06
814,2.22998e-06
815,2.10091e-06
816,1.98e-06
817,1.86657e-06
818,1.75997e-06
819,1.65964e-06
820,1.56506e-06
821,1.4758e-06
822,1.3916e-06
823,1.31221e-06
824,1.23742e-06
825,1.167e-06
826,1.10072e-06
827,1.03839e-06
828,9.79788e-07
829,9.24725e-07
830,8.73008e-07
