wavelength,z_bar
728,9.41814e-118
729,-2.23061e-118
730,1.85884e-119
731,1.16178e-119
732,3.87259e-121
733,9.68148e-122
734,-2.05731e-121
735,1.21018e-122
736,2.72292e-122
737,4.91638e-123
738,4.72729e-124
739,-7.09093e-125
740,-1.18182e-124
741,8.86366e-126
742,-7.01706e-126
743,6.46309e-127
744,-6.92473e-128
745,-9.23298e-128
746,2.88531e-128
747,0
748,1.26232e-129
749,-2.70497e-130
750,7.88951e-131
751,5.35359e-131
752,9.86189e-132
753,-2.99379e-132
754,3.08184e-133
755,-6.60394e-134
756,-6.05361e-134
757,9.63075e-135
758,2.06373e-135
759,1.37582e-135
760,-6.44916e-137
761,8.06145e-137
762,1.34358e-138
763,7.72556e-138
764,7.55761e-139
765,2.5192e-139
766,-6.29801e-140
767,-5.24834e-141
768,2.62417e-141
769,-3.28021e-142
770,7.79051e-142
771,3.0752e-142
772,-3.58773e-143
773,-3.20333e-144
774,-2.4025e-144
775,1.52158e-144
776,-6.00625e-146
777,3.00312e-146
778,3.75391e-147
779,4.69238e-147
780,5.47445e-148
781,4.30135e-148
782,-2.93274e-149
783,-9.7758e-150
784,5.49889e-150
785,1.37472e-150
786,-1.1456e-151
787,-2.864e-152
788,0
789,1.19333e-152
790,-4.475e-154
791,-4.10209e-154
792,2.42396e-154
793,-6.99219e-156
794,-9.90561e-156
795,-1.45671e-156
796,-8.01189e-157
797,-1.82088e-158
798,-1.82088e-158
799,1.36566e-158
800,-2.2761e-159
801,-2.70287e-159
802,-2.31167e-160
803,1.42257e-160
804,2.11162e-161
805,-6.11259e-162
806,-1.11138e-162
807,-3.47306e-164
808,3.47306e-164
809,-1.08533e-164
810,-1.1396e-164
811,1.35666e-165
812,1.0175e-166
813,1.18708e-166
814,1.69583e-167
815,2.11979e-168
816,-3.44466e-168
817,5.29947e-169
818,3.31217e-169
819,-7.03836e-170
820,-1.9666e-170
821,5.17526e-172
822,4.52836e-172
823,2.74936e-172
824,-8.89498e-173
825,-4.04317e-174
826,-5.05397e-175
827,7.58095e-175
828,5.05397e-175
829,-5.05397e-175
830,0
