wavelength,D60
300,0.0293
305,1.2899
310,2.5505
315,9.04125
320,15.532
325,21.9667
330,28.4015
335,29.9583
340,31.5152
345,33.7842
350,36.0533
355,37.231
360,38.4087
365,40.6733
370,42.9379
375,42.0887
380,41.2395
385,43.8447
390,46.4498
395,59.302
400,72.1541
405,76.2221
410,80.29
415,81.5341
420,82.7782
425,80.1774
430,77.5767
435,86.5984
440,95.6201
445,101.762
450,107.904
455,108.711
460,109.518
465,108.623
470,107.728
475,108.691
480,109.654
485,106.669
490,103.684
495,104.449
500,105.214
505,104.815
510,104.415
515,103.47
520,102.524
525,104.291
530,106.058
535,104.685
540,103.313
545,103.427
550,103.54
555,101.77
560,100
565,98.3759
570,96.7518
575,96.7319
580,96.712
585,93.2952
590,89.8784
595,90.9071
600,91.9358
605,91.9759
610,92.0159
615,91.2841
620,90.5523
625,88.4889
630,86.4254
635,86.9331
640,87.4408
645,85.631
650,83.8212
655,84.1803
660,84.5394
665,85.9118
670,87.2842
675,85.273
680,83.2618
685,78.6287
690,73.9957
695,75.2048
700,76.4139
705,77.6434
710,78.873
715,72.0985
720,65.324
725,69.6352
730,73.9464
735,76.6527
740,79.359
745,73.2626
750,67.1663
755,58.1651
760,49.1638
765,59.9502
770,70.7366
775,68.8789
780,67.0212
785,67.5226
790,68.024
795,65.4395
800,62.8551
805,58.865
810,54.875
815,57.7862
820,60.6974
825,62.2269
830,63.7565
