wavelength,m_bar
390,0.000368349
391,0.000448015
392,0.000543965
393,0.000658983
394,0.000796121
395,0.000958658
396,0.00115002
397,0.00137367
398,0.00163296
399,0.00193089
400,0.00226991
401,0.0026521
402,0.0030811
403,0.00356156
404,0.004099
405,0.0047001
406,0.00537186
407,0.00611757
408,0.00693795
409,0.00783144
410,0.00879369
411,0.00981865
412,0.0109044
413,0.0120509
414,0.0132582
415,0.0145277
416,0.01586
417,0.0172496
418,0.0186878
419,0.0201638
420,0.0216649
421,0.0231801
422,0.0247139
423,0.0262785
424,0.0278905
425,0.0295714
426,0.0313438
427,0.0332151
428,0.0351889
429,0.0372683
430,0.0394566
431,0.0417546
432,0.0441544
433,0.0466432
434,0.049205
435,0.0518199
436,0.0544645
437,0.0571131
438,0.0597369
439,0.0623038
440,0.0647782
441,0.0671329
442,0.0693844
443,0.0715658
444,0.0737164
445,0.0758812
446,0.078098
447,0.0803538
448,0.0826198
449,0.0848644
450,0.0870524
451,0.089164
452,0.0912523
453,0.093395
454,0.0956775
455,0.0981934
456,0.101031
457,0.104229
458,0.107814
459,0.111817
460,0.116272
461,0.121204
462,0.126573
463,0.132311
464,0.138334
465,0.144541
466,0.150828
467,0.157146
468,0.163457
469,0.169721
470,0.175893
471,0.181938
472,0.187872
473,0.193731
474,0.199557
475,0.205398
476,0.211302
477,0.217283
478,0.223347
479,0.229501
480,0.235754
481,0.242108
482,0.248545
483,0.255037
484,0.261554
485,0.268063
486,0.274561
487,0.28118
488,0.288097
489,0.295508
490,0.30363
491,0.312649
492,0.322565
493,0.333319
494,0.344844
495,0.357061
496,0.369895
497,0.383355
498,0.397467
499,0.41226
500,0.427764
501,0.444001
502,0.460947
503,0.478562
504,0.496795
505,0.515587
506,0.534868
507,0.554575
508,0.57464
509,0.594984
510,0.61552
511,0.636162
512,0.656872
513,0.677624
514,0.698393
515,0.719154
516,0.739844
517,0.760235
518,0.780039
519,0.798941
520,0.81661
521,0.832783
522,0.84755
523,0.861113
524,0.873698
525,0.88555
526,0.896873
527,0.907638
528,0.917757
529,0.927137
530,0.935687
531,0.943362
532,0.950309
533,0.956733
534,0.962844
535,0.968858
536,0.974919
537,0.98085
538,0.986388
539,0.991267
540,0.995217
541,0.998007
542,0.999595
543,0.999982
544,0.999177
545,0.997193
546,0.994102
547,0.990204
548,0.985855
549,0.981404
550,0.977193
551,0.973441
552,0.969881
553,0.966133
554,0.961823
555,0.956583
556,0.950167
557,0.942773
558,0.934709
559,0.926271
560,0.91775
561,0.909339
562,0.900895
563,0.892197
564,0.883035
565,0.873205
566,0.862565
567,0.851173
568,0.839132
569,0.826545
570,0.813509
571,0.800082
572,0.786166
573,0.771635
574,0.756376
575,0.740291
576,0.723369
577,0.70589
578,0.688184
579,0.670554
580,0.653274
581,0.636524
582,0.620217
583,0.604211
584,0.588375
585,0.572597
586,0.556783
587,0.540896
588,0.524912
589,0.508817
590,0.492599
591,0.476268
592,0.459893
593,0.443551
594,0.427314
595,0.411246
596,0.395396
597,0.379782
598,0.36441
599,0.349289
600,0.334429
601,0.319843
602,0.305564
603,0.291625
604,0.278053
605,0.264872
606,0.252099
607,0.239747
608,0.227822
609,0.21633
610,0.205273
611,0.19465
612,0.184448
613,0.174654
614,0.165256
615,0.156243
616,0.147602
617,0.139329
618,0.131416
619,0.123856
620,0.116641
621,0.109766
622,0.103226
623,0.0970205
624,0.091143
625,0.0855872
626,0.0803428
627,0.0753913
628,0.0707136
629,0.0662924
630,0.062112
631,0.0581595
632,0.0544276
633,0.0509098
634,0.0475991
635,0.0444879
636,0.0415659
637,0.0388152
638,0.0362181
639,0.0337599
640,0.0314282
641,0.0292176
642,0.0271403
643,0.0252084
644,0.0234286
645,0.0218037
646,0.0203285
647,0.0189779
648,0.0177272
649,0.016556
650,0.015448
651,0.0143924
652,0.0133896
653,0.0124414
654,0.0115488
655,0.010712
656,0.00992994
657,0.00920057
658,0.00852126
659,0.00788945
660,0.00730255
661,0.0067582
662,0.00625474
663,0.00579045
664,0.00536347
665,0.00497179
666,0.004613
667,0.00428339
668,0.0039794
669,0.00369803
670,0.00343667
671,0.00319326
672,0.00296653
673,0.00275543
674,0.00255896
675,0.00237617
676,0.00220618
677,0.00204809
678,0.0019011
679,0.00176442
680,0.00163734
681,0.00151916
682,0.00140913
683,0.00130655
684,0.00121078
685,0.00112128
686,0.00103766
687,0.000959892
688,0.000887951
689,0.000821729
690,0.000761051
691,0.000705623
692,0.000654874
693,0.00060824
694,0.00056524
695,0.000525457
696,0.00048855
697,0.000454277
698,0.000422436
699,0.000392839
700,0.000365317
701,0.00033971
702,0.000315856
703,0.000293607
