wavelength,s_bar
753,-1.42873e-100
754,-3.92902e-101
755,0
756,-7.81339e-103
757,-5.02289e-103
758,-8.37149e-104
759,-1.74406e-105
760,-3.05211e-105
761,0
762,-4.90517e-106
763,2.72509e-107
764,1.02191e-107
765,1.8735e-107
766,4.89665e-108
767,1.11771e-108
768,-1.33061e-109
769,2.32857e-110
770,0
771,-8.31633e-112
772,-2.39094e-111
773,-2.59885e-112
774,0
775,3.73585e-113
776,-2.43642e-114
777,-6.09106e-115
778,-3.80691e-115
779,9.51728e-116
780,1.11035e-116
781,-1.58621e-117
782,-1.98277e-117
783,4.95692e-119
784,-6.19615e-119
785,1.85884e-119
786,-6.19615e-120
787,4.06622e-120
788,5.32481e-121
789,1.57324e-121
790,6.05092e-123
791,-2.72292e-122
792,-3.40365e-123
793,-9.45457e-125
794,-2.36364e-125
795,1.77273e-125
796,-2.51137e-125
797,-2.95455e-126
798,1.8466e-127
799,-2.30824e-128
800,1.15412e-128
801,-1.73118e-128
802,-3.60663e-129
803,1.62298e-129
804,2.25415e-130
805,7.88951e-131
806,1.69061e-131
807,4.93094e-132
808,3.87431e-132
809,4.40263e-133
810,-5.50328e-134
811,-2.75164e-134
812,-9.63075e-135
813,4.81537e-135
814,1.37582e-135
815,-4.72938e-136
816,4.83687e-137
817,1.88101e-137
818,-4.03073e-138
819,-3.35894e-139
820,-8.39735e-140
821,-5.24834e-140
822,3.41142e-140
823,-6.56043e-142
824,0
825,2.46016e-142
826,2.05013e-142
827,-1.5376e-143
828,1.79387e-143
829,-1.02507e-143
830,0
