wavelength,z_bar
783,3.96553e-118
784,-9.91384e-119
785,-6.19615e-120
786,-2.01375e-119
787,8.5197e-120
788,2.42037e-120
789,3.38852e-121
790,-6.05092e-122
791,-3.02546e-122
792,-1.51273e-123
793,1.13455e-123
794,5.20001e-124
795,1.65455e-124
796,1.77273e-125
797,1.18182e-125
798,0
799,-3.69319e-127
800,4.61649e-128
801,-5.77061e-129
802,-1.58692e-128
803,2.16398e-129
804,-6.31161e-130
805,-1.5779e-130
806,-6.76244e-131
807,-7.0442e-132
808,1.40884e-132
809,1.673e-132
810,1.54092e-133
811,5.50328e-134
812,1.10066e-134
813,1.10066e-134
814,3.43955e-136
815,-5.15933e-136
816,0
817,5.3743e-137
818,1.20922e-137
819,-8.39735e-139
820,-5.87814e-139
821,2.09934e-139
822,-5.24834e-141
823,2.49296e-140
824,-3.28021e-141
825,-1.80412e-141
826,-3.48523e-142
827,1.02507e-143
828,7.17547e-143
829,0
830,0
